id,corpus,n_free_date_vars,n_free_int_vars,n_free_bool_vars,pinned_var_frac,pinned_date_frac,pinned_int_frac,pinned_bool_frac,n_date_subexprs,n_atoms,n_date_comparisons,n_int_comparisons,ordering_cmp_frac,n_case_splits,max_disjunction_width,bool_alternation_depth,implication_atom_frac,neg_ordering_frac,n_unit_constraints,n_date_period_ops,ground_arith_frac,max_abs_years,max_abs_months,max_abs_days,mixed_frac,max_date_chain_len,n_dot_year,n_dot_month,n_dot_day,property_access_frac,n_symbolic_date_ctors,uses_feb29,uses_leap_year,n_components,largest_component_frac,graph_density,mixed_sort_coupling,label_status,label_execution_time
llm-logical_operators-1,llm,0,0,0,1.0,1.0,0.0,0.0,4,10,2,8,0.0,2,2,2,0.0,0.0,6,1,0.0,4,0,0,0.0,1,3,2,3,0.8,0,1,1,1,1.0,1.0,0,,
llm-logical_operators-2,llm,3,0,0,0.0,0.0,0.0,0.0,7,12,6,6,0.75,3,1,2,0.6666666666666666,0.4444444444444444,4,2,0.0,1,6,0,0.0,1,3,4,0,0.5384615384615384,0,0,0,1,1.0,0.6666666666666666,0,,
llm-logical_operators-3,llm,0,0,0,1.0,1.0,0.0,0.0,4,13,2,11,0.15384615384615385,2,2,2,0.3076923076923077,0.5,5,1,0.0,0,1,0,0.0,1,0,5,6,0.8461538461538461,0,0,0,1,1.0,1.0,0,,
llm-logical_operators-4,llm,0,0,0,1.0,1.0,0.0,0.0,11,22,12,10,0.45454545454545453,4,2,2,0.3181818181818182,0.3,7,4,0.0,0,6,365,0.0,1,5,5,0,0.45454545454545453,0,0,1,1,1.0,0.6,0,,
llm-logical_operators-5,llm,0,0,0,1.0,1.0,0.0,0.0,6,15,3,12,0.0,3,2,2,0.4666666666666667,0.0,6,2,0.0,1,12,0,0.0,1,4,2,6,0.8,0,1,1,1,1.0,0.6666666666666666,0,,
llm-logical_operators-6,llm,0,0,0,1.0,1.0,0.0,0.0,4,11,2,9,0.0,3,2,2,0.5454545454545454,0.0,2,1,0.0,1,0,0,0.0,1,3,3,3,0.8181818181818182,0,1,1,1,1.0,1.0,0,,
llm-logical_operators-7,llm,3,0,0,0.0,0.0,0.0,0.0,7,14,6,8,0.35714285714285715,4,2,2,0.35714285714285715,0.4,5,2,0.0,0,1,31,0.0,1,0,8,1,0.6,0,0,1,1,1.0,1.0,0,,
llm-logical_operators-8,llm,0,0,0,1.0,1.0,0.0,0.0,8,20,8,12,0.0,4,2,2,0.5,0.0,8,2,0.0,0,3,90,0.0,1,2,8,7,0.68,0,0,0,1,1.0,0.8333333333333334,0,,
llm-logical_operators-9,llm,2,0,0,0.0,0.0,0.0,0.0,5,14,3,11,0.42857142857142855,4,2,2,0.0,0.0,4,1,0.0,0,6,0,0.0,1,4,6,2,0.8,0,0,0,1,1.0,1.0,0,,
llm-logical_operators-10,llm,0,0,0,1.0,1.0,0.0,0.0,7,16,4,12,0.3125,4,2,2,0.3125,0.0,5,3,0.0,0,3,0,0.0,1,8,7,2,0.8095238095238095,0,0,0,1,1.0,1.0,0,,
llm-logical_operators-11,llm,0,0,0,1.0,1.0,0.0,0.0,7,10,3,7,0.0,2,1,1,0.5,0.0,5,3,0.0,4,0,1,0.0,1,4,5,3,0.8,2,1,1,1,1.0,1.0,0,,
llm-logical_operators-12,llm,3,0,0,0.0,0.0,0.0,0.0,7,15,4,11,0.2,4,2,2,0.2,0.0,6,2,0.0,0,1,0,0.0,1,0,4,9,0.7647058823529411,0,0,1,1,1.0,0.6666666666666666,0,,
llm-logical_operators-13,llm,0,0,0,1.0,1.0,0.0,0.0,15,21,11,10,0.38095238095238093,5,2,2,0.38095238095238093,0.375,7,7,0.0,0,6,45,0.0,1,7,8,1,0.5925925925925926,1,0,1,1,1.0,0.5,0,,
llm-logical_operators-14,llm,2,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,7,10,5,5,0.3,1,2,2,0.0,0.3333333333333333,6,1,0.0,1,0,0,0.0,1,2,3,1,0.5454545454545454,0,0,0,2,0.6666666666666666,0.3333333333333333,0,,
llm-logical_operators-15,llm,0,0,0,1.0,1.0,0.0,0.0,7,17,6,11,0.17647058823529413,5,2,2,0.35294117647058826,0.0,4,2,0.0,0,3,27,0.0,1,4,6,4,0.7,0,0,1,1,1.0,0.6666666666666666,0,,
llm-logical_operators-16,llm,0,0,0,1.0,1.0,0.0,0.0,6,11,4,7,0.18181818181818182,3,2,2,0.2727272727272727,0.0,3,1,0.0,4,0,0,0.0,1,2,5,1,0.6666666666666666,0,1,1,1,1.0,0.6666666666666666,0,,
llm-logical_operators-17,llm,2,0,0,0.5,0.5,0.0,0.0,9,25,11,14,0.16,7,2,2,0.44,0.0,6,1,0.0,0,1,0,0.0,1,1,4,9,0.56,0,0,1,2,0.75,0.5,0,,
llm-logical_operators-18,llm,2,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,7,16,4,12,0.0625,5,2,2,0.4375,0.0,4,2,0.0,0,3,0,0.0,1,5,4,5,0.7777777777777778,0,0,0,1,1.0,0.6666666666666666,0,,
llm-logical_operators-19,llm,0,0,0,1.0,1.0,0.0,0.0,4,14,2,12,0.21428571428571427,3,2,2,0.0,0.3333333333333333,6,1,0.0,0,0,10,0.0,1,0,3,9,0.8571428571428571,0,0,0,1,1.0,1.0,0,,
llm-logical_operators-20,llm,2,0,0,0.5,0.5,0.0,0.0,10,20,6,14,0.1,7,2,2,0.45,1.0,3,3,0.0,1,1,1,0.0,1,4,6,5,0.7142857142857143,1,0,0,1,1.0,0.5,0,,
llm-month_vs_days-21,llm,0,0,0,1.0,1.0,0.0,0.0,7,5,5,0,0.0,0,1,0,0.0,0.0,5,2,0.0,0,1,28,0.0,1,0,0,0,0.0,0,0,0,1,1.0,1.0,0,,
llm-month_vs_days-22,llm,0,0,0,1.0,1.0,0.0,0.0,8,7,7,0,0.0,0,1,0,0.0,0.0,7,4,0.0,0,1,29,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-month_vs_days-23,llm,0,0,0,1.0,1.0,0.0,0.0,15,10,10,0,0.0,0,1,0,0.0,0.0,10,6,0.0,0,1,31,0.0,1,0,0,0,0.0,0,0,0,1,1.0,0.4,0,,
llm-month_vs_days-24,llm,0,0,0,1.0,1.0,0.0,0.0,6,4,4,0,0.0,0,1,0,0.0,0.0,4,2,0.0,0,1,31,0.0,1,0,0,0,0.0,0,0,0,1,1.0,1.0,0,,
llm-month_vs_days-25,llm,1,0,0,0.75,0.75,0.0,0.0,7,8,4,4,0.0,0,1,0,0.0,0.0,8,2,0.0,0,1,31,0.0,1,0,2,2,0.5,0,0,0,2,0.75,0.5,0,,
llm-month_vs_days-26,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,5,0,0.2,0,1,0,0.0,0.0,5,2,0.0,0,1,30,0.0,1,0,0,0,0.0,0,0,1,1,1.0,1.0,0,,
llm-month_vs_days-27,llm,0,0,0,1.0,1.0,0.0,0.0,9,7,7,0,0.0,0,1,0,0.0,0.0,7,4,0.0,0,1,31,0.0,1,0,0,0,0.0,0,0,0,1,1.0,1.0,0,,
llm-month_vs_days-28,llm,0,0,0,1.0,1.0,0.0,0.0,14,10,10,0,0.1,0,1,0,0.0,0.0,10,6,0.0,0,2,60,0.0,1,0,0,0,0.0,0,1,1,1,1.0,0.6666666666666666,0,,
llm-month_vs_days-29,llm,0,0,0,1.0,1.0,0.0,0.0,8,6,6,0,0.0,0,1,0,0.0,0.0,6,2,0.0,0,1,31,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-month_vs_days-30,llm,0,0,0,1.0,1.0,0.0,0.0,12,8,8,0,0.125,0,1,0,0.0,0.0,8,6,0.0,0,2,31,0.0,1,0,0,0,0.0,0,0,0,1,1.0,0.5,0,,
llm-month_vs_days-31,llm,0,0,0,1.0,1.0,0.0,0.0,7,5,5,0,0.0,0,1,0,0.0,0.0,5,2,0.0,0,1,28,0.0,1,0,0,0,0.0,0,0,0,1,1.0,1.0,0,,
llm-month_vs_days-32,llm,0,0,0,1.0,1.0,0.0,0.0,9,7,7,0,0.0,0,1,0,0.0,0.0,7,3,0.0,0,1,31,0.0,1,0,0,0,0.0,0,0,1,1,1.0,0.6666666666666666,0,,
llm-month_vs_days-33,llm,5,0,0,0.0,0.0,0.0,0.0,11,11,8,3,0.2727272727272727,0,1,1,0.0,0.0,11,4,0.0,0,2,59,0.0,1,0,3,0,0.2727272727272727,0,0,0,1,1.0,0.6,0,,
llm-month_vs_days-34,llm,0,0,0,1.0,1.0,0.0,0.0,7,6,6,0,0.0,0,1,0,0.0,0.0,6,2,0.0,0,1,31,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-month_vs_days-35,llm,0,0,0,1.0,1.0,0.0,0.0,10,9,7,2,0.0,0,1,1,0.0,0.0,9,4,0.0,0,2,61,0.0,1,1,1,0,0.2222222222222222,0,0,0,1,1.0,0.5,0,,
llm-month_vs_days-36,llm,0,0,0,1.0,1.0,0.0,0.0,7,7,7,0,0.14285714285714285,0,1,0,0.0,0.0,7,2,0.0,0,1,28,0.0,1,0,0,0,0.0,0,0,0,1,1.0,1.0,0,,
llm-month_vs_days-37,llm,0,0,0,1.0,1.0,0.0,0.0,9,6,6,0,0.16666666666666666,0,1,0,0.0,0.0,6,3,0.0,0,1,31,0.0,1,0,0,0,0.0,0,0,0,1,1.0,0.6666666666666666,0,,
llm-month_vs_days-38,llm,0,0,0,1.0,1.0,0.0,0.0,11,8,8,0,0.125,0,1,0,0.0,0.0,8,4,0.0,0,3,90,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-month_vs_days-39,llm,0,0,0,1.0,1.0,0.0,0.0,6,5,5,0,0.2,0,1,0,0.0,0.0,5,3,0.0,0,1,29,0.0,1,0,0,0,0.0,0,1,1,1,1.0,1.0,0,,
llm-month_vs_days-40,llm,0,0,0,1.0,1.0,0.0,0.0,16,10,10,0,0.1,0,1,0,0.0,0.0,10,8,0.0,0,2,59,0.0,1,0,0,0,0.0,0,0,0,1,1.0,0.5,0,,
llm-property_access-41,llm,0,0,0,1.0,1.0,0.0,0.0,4,4,2,2,0.0,0,1,0,0.0,0.0,4,1,0.0,1,0,0,0.0,1,1,0,1,0.5,0,1,1,1,1.0,1.0,0,,
llm-property_access-42,llm,3,0,0,0.0,0.0,0.0,0.0,4,7,1,6,0.0,0,1,0,0.0,0.0,7,1,0.0,0,1,0,0.0,1,2,2,2,0.8571428571428571,0,0,0,2,0.6666666666666666,0.3333333333333333,0,,
llm-property_access-43,llm,0,0,0,1.0,1.0,0.0,0.0,8,10,4,6,0.0,0,1,0,0.0,0.0,10,3,0.0,0,3,0,0.0,1,2,4,1,0.6363636363636364,0,0,1,1,1.0,0.5,0,,
llm-property_access-44,llm,0,0,0,1.0,1.0,0.0,0.0,4,6,2,4,0.0,0,1,0,0.0,0.0,6,1,0.0,4,0,0,0.0,1,2,1,1,0.6666666666666666,0,1,1,1,1.0,1.0,0,,
llm-property_access-45,llm,0,0,0,1.0,1.0,0.0,0.0,8,8,4,4,0.125,0,1,0,0.0,0.0,8,3,0.0,1,0,365,0.0,1,4,0,0,0.5,0,0,0,1,1.0,0.5,0,,
llm-property_access-46,llm,0,0,0,1.0,1.0,0.0,0.0,4,5,2,3,0.0,0,1,0,0.0,0.0,5,1,0.0,1,0,0,0.0,1,2,0,1,0.6,0,1,1,1,1.0,1.0,0,,
llm-property_access-47,llm,0,0,0,1.0,1.0,0.0,0.0,6,7,3,4,0.0,0,1,0,0.0,0.0,7,2,0.0,0,1,15,0.0,1,0,3,1,0.5714285714285714,0,0,1,1,1.0,0.6666666666666666,0,,
